Material Supplier,Material Name,General Material Type,Specific Material Type,Post Processed,Ultimate Tensile Strength Min (MPa),Ultimate Tensile Strength Max (MPa),Tensile Modulus Min (MPa),Tensile Modulus Max (MPa),Elongation at Break Min (%),Elongation at Break Max (%),Flexural Strength Min (MPa),Flexural Strength Max (MPa),Flexural Modulus Min (MPa),Flexural Modulus Max (MPa),Hardness Shore Scale,Hardness Min,Hardness Max,HDT Min (C),HDT Max (C),Glass Transition Temp Min (C),Glass Transition Temp Max (C),Part Density (g/cm3),Flammability,USP Class VI Certified
SLM Solutions,SLM Solutions Inconel 718,Metal,Nickel,No,1010,1290,,,13,23,,,,,,,,,,,,,,No
SLM Solutions,SLM Solutions Inconel HX,Metal,Nickel,No,910,910,,,35,35,,,,,,,,,,,,,,No
SLM Solutions,SLM Solutions Pure Titanium,Metal,Titanium,No,290,290,,,20,20,,,,,,,,,,,,,,No
SLM Solutions,SLM Solutions Ti 6Al 4V,Metal,Titanium,Yes,972,972,,,10,10,,,,,,,,,,,,,,No
SLM Solutions,SLM Solutions Ti 6Al 7Nb,Metal,Titanium,Yes,1020,1020,,,10,10,,,,,,,,,,,,,,No
Solidscape,3Z LabCAST,Wax,,No,,,,,,,,,,,,,,,,,,,,No
Solidscape,3Z Model,Wax,,No,,,,,,,,,,,,,,,,,,,,No
Stratasys,ABS-ESD7,Polymer,ABS,No,36,36,2400,2400,3,3,61,61,2400,2400,,,,96,96,108,108,,HB,No
Stratasys,ABS-i,Polymer,ABS,No,37,37,1920,1920,4.4,4.4,62,62,1920,1920,,,,86,86,116,116,,HB,No
Stratasys,ABS-M30,Polymer,ABS,No,36,36,2400,2400,4,4,61,61,2300,2300,,,,96,96,108,108,,HB,No
Stratasys,ABS-M30i,Polymer,ABS,No,36,36,2400,2400,4,4,61,61,2300,2300,,,,96,96,108,108,,HB,Yes
Stratasys,ABSplus,Polymer,ABS,No,37,37,2320,2320,3,3,53,53,2250,2250,,,,96,96,108,108,,,No
Stratasys,ASA,Polymer,ASA,No,30,33,1950,2010,3,9,48,60,1630,1870,,,,98,98,108,108,,HB,No
Stratasys,Clear Bio-compatible MED610,Polymer,,No,50,65,2000,3000,10,25,75,110,2200,3200,Shore D,83,86,45,50,52,54,1.17,,No
Stratasys,CrownWorx TrueCast,Wax,Wax,No,,,,,,,,,,,,,,,,,,,,No
Stratasys,DurusWhite RGD430,Polymer,PP,No,20,30,1000,2000,40,50,30,40,1200,1600,Shore D,74,78,37,42,35,37,1.16,,No
Stratasys,Endur RGD450,Polymer,Acrylic,No,,,,,,,,,,,,,,,,,,,,No
Stratasys,FDM Nylon 12,Polymer,PA,No,,,,,,,,,,,,,,,,,,,,No
Stratasys,FrameWorx TrueCast,Wax,Wax,No,,,,,,,,,,,,,,,,,,,,No
Stratasys,PC,Polymer,PC,No,68,68,2300,2300,5,5,104,104,2200,2200,,,,138,138,161,161,,HB,No
Stratasys,PC-ABS,Polymer,ABS/PP,No,41,41,1900,1900,6,6,68,68,1900,1900,,,,110,110,125,125,1.1,HB,No
Stratasys,PC-ISO,Polymer,PC,No,57,57,2000,2000,4,4,90,90,2100,2100,,,,133,133,161,161,,HB,Yes
Stratasys,PPSF,Polymer,PPS,No,55,55,2100,2100,3,3,110,110,2200,2200,,,,,,230,230,,V-0,No
Stratasys,RGD5130-DM,Polymer,ABS,No,55,60,2600,3000,25,40,65,75,1700,2200,Shore D,85,87,58,68,47,53,1.17,,No
Stratasys,RGD5131-DM,Polymer,ABS,No,55,60,2600,3000,25,40,65,75,1700,2200,Shore D,85,87,58,68,47,53,1.17,,No
Stratasys,RGD5160-DM,Polymer,ABS,No,55,60,2600,3000,25,40,65,75,1700,2200,Shore D,85,87,58,68,47,53,1.17,,No
Stratasys,RGD5161-DM,Polymer,ABS,No,55,60,2600,3000,25,40,65,75,1700,2200,Shore D,85,87,58,68,47,53,1.17,,No
Stratasys,RGD525,Polymer,Acrylic,No,70,80,3200,3500,10,15,110,130,3100,3500,Shore D,87,88,63,67,62,65,1.17,,No
